C10006,后端开发,S100001,1.0,.net,
C10017,IOT,S100002,1.0,2lemetry,物联网平台;
C10000,项目管理,S100003,1.0,6w2h,
C10000,项目管理,S100004,1.0,abc,
C10005,数据库开发,S100005,1.0,access,
C10006,后端开发,S100005,1.0,access,
C10006,后端开发,S100006,1.0,acid,
C10010,IT/运维,S100007,1.0,acs,思科安全访问控制服务器（cisco secure access control server）
C10005,数据库开发,S100008,1.0,actian psql,pervasive software公司开发的acid兼容的dbms，在应用程序中嵌入了优化;
C10006,后端开发,S100008,1.0,actian psql,pervasive software公司开发的acid兼容的dbms，在应用程序中嵌入了优化;
C10003,前端开发,S100009,1.0,actionscript,
C10010,IT/运维,S1000010,1.0,ad,
C10013,大数据,S1000011,1.0,spindle,使用scala、spark和parquet处理的下一代web分析;
C10008,测试,S1000012,1.0,qengine,
C10006,后端开发,S1000013,1.0,airavata,apache airavata是一个基于微服务架构的软件框架，用于在分布式计算资源(包括本地集群、超级计算机、国家网格、学术和商业云)上执行和管理计算作业和工作流。airavata主要用于构建基于web的科学网关，并协助组合、管理、执行和监视大型应用程序(包装为web服务)和由这些服务组成的工作流。
C10013,大数据,S1000014,1.0,airflow,工作流自动化和调度，可用于编写和管理数据管道
C10005,数据库开发,S1000014,1.0,airflow,工作流自动化和调度，可用于编写和管理数据管道
C10012,数据分析,S1000014,1.0,airflow,工作流自动化和调度，可用于编写和管理数据管道
C10012,数据分析,S1000015,1.0,airpal,用于prestodb的网页ui;
C10010,IT/运维,S1000016,0.5 ,aix,
C10015,MAINFRAME,S1000016,1.0,aix,
C10015,MAINFRAME,S1000017,1.0,os/2,
C10013,大数据,S1000018,1.0,akka toolkit,jvm中分布性、容错事件驱动应用程序的运行时间;
C10006,后端开发,S1000019,1.0,allura,apache airavata是一个基于微服务架构的软件框架，用于在分布式计算资源(包括本地集群、超级计算机、国家网格、学术和商业云)上执行和管理计算作业和工作流。airavata主要用于构建基于web的科学网关，并协助组合、管理、执行和监视大型应用程序(包装为web服务)和由这些服务组成的工作流。
C10005,数据库开发,S1000020,1.0,amazon rds,
C10006,后端开发,S1000020,1.0,amazon rds,
C10013,大数据,S1000021,1.0,ambari,apache ambari使hadoop集群的供应、管理和监视非常简单。
C10012,数据分析,S1000021,1.0,ambari,apache ambari使hadoop集群的供应、管理和监视非常简单。
C10010,IT/运维,S1000021,1.0,ambari,apache ambari使hadoop集群的供应、管理和监视非常简单。
C10006,后端开发,S1000022,1.0,anakia,anakia是一个xml转换工具，它使用jdom和velocity将xml文档转换为您选择的格式。它提供了一种使用ant样式任务和xsl处理xml文件的替代方案。
C10007,移动开发,S1000023,1.0,android,
C10003,前端开发,S1000024,1.0,angular.js,
C10010,IT/运维,S1000025,1.0,ansible,
C10013,大数据,S1000026,1.0,apex,apache apex是一个大数据流和批处理的统一平台。用例包括摄入、etl、实时分析、警报和实时操作。apex是一个hadoop原生的yarn实现，默认使用hdfs。它通过缩短上市时间，简化了hadoop应用程序的开发和产品化。主要特性包括企业级可操作性、容错、状态管理、事件处理保证、无数据丢失、内存内性能和可伸缩性以及本地窗口支持。
C10012,数据分析,S1000026,1.0,apex,apache apex是一个大数据流和批处理的统一平台。用例包括摄入、etl、实时分析、警报和实时操作。apex是一个hadoop原生的yarn实现，默认使用hdfs。它通过缩短上市时间，简化了hadoop应用程序的开发和产品化。主要特性包括企业级可操作性、容错、状态管理、事件处理保证、无数据丢失、内存内性能和可伸缩性以及本地窗口支持。
C10006,后端开发,S1000027,1.0,apisix,原生云微服务api网关
C10001,需求/业务分析,S1000028,1.0,appeals,
C10008,测试,S1000029,1.0,appium,
C10008,测试,S1000030,1.0,app自动化测试,
C10012,数据分析,S1000031,1.0,apriori,第一个关联规则挖掘算法，也是最经典的算法
C10012,数据分析,S1000032,1.0,arbor,利用网络工作者和jquery的图形可视化库;
C10010,IT/运维,S1000033,1.0,archiva,archiva是maven、continuum和ant等构建工具的完美伴侣。archiva提供了多种功能，其中包括远程存储库代理、安全访问管理、构建工件存储、交付、浏览、索引和使用报告、可扩展扫描功能等等!
C10013,大数据,S1000034,1.0,argus,时间序列监测和报警平台;
